RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8164,15572050,Yefimov,768,Germany,Male,48,3,122831.58,1,1,1,24533.89,1
5119,15572051,Kennedy,721,France,Male,40,3,0,1,1,1,144874.67,0
9330,15572073,Yao,663,Spain,Male,35,5,0,2,1,1,62634.94,0
1685,15572093,Han,613,France,Female,24,7,140453.91,1,1,0,129001.3,0
9755,15572114,Shih,673,Spain,Male,40,1,121629.22,1,1,1,3258.6,0
4214,15572145,Ashton,767,France,Female,34,8,0,2,1,0,94767.77,0
4969,15572158,Blackburn,604,Spain,Male,41,3,0,1,0,0,11819.84,0
8244,15572174,Mazzi,825,France,Male,29,3,148874.01,2,0,1,71192.82,0
9878,15572182,Onwuamaeze,505,Germany,Female,33,3,106506.77,3,1,0,45445.78,1
851,15572265,Wu,646,Germany,Male,46,1,170826.55,2,1,0,45041.32,0
3349,15572291,Kao,825,France,Male,40,6,132308.22,1,0,0,117122.5,0
8947,15572294,Kelly,623,France,Male,28,7,0,1,0,0,129526.57,0
8788,15572356,Tsai,689,Spain,Male,73,1,108555.07,1,0,1,167969.15,0
1299,15572360,Clark,683,France,Male,30,10,57657.49,1,0,0,79240.9,0
7641,15572361,Chill,790,Germany,Female,34,2,164011.48,1,1,0,199420.41,0
9706,15572374,Hopetoun,733,Spain,Male,36,1,0,2,0,1,108377.82,0
7112,15572390,Huang,850,Spain,Female,39,6,0,2,1,0,103921.43,0
5556,15572398,Townsend,614,Spain,Female,39,6,0,2,1,1,164018.98,0
6190,15572408,Chambers,714,Germany,Male,39,3,149887.49,2,1,0,63846.36,0
8207,15572415,Preston,580,France,Male,34,6,0,2,1,1,160095.31,0
8969,15572428,Rieke,717,Germany,Female,33,0,115777.23,1,1,1,81508.1,0
2445,15572461,Kung,663,Germany,Female,29,4,102714.65,2,0,0,21170.81,0
1831,15572467,Chandler,506,France,Male,37,5,0,2,1,1,127543.81,0
4400,15572547,Vaguine,670,France,Female,45,9,104930.38,1,1,0,155921.81,1
3683,15572626,Mackenzie,620,Spain,Male,44,8,0,2,1,1,15627.51,0
8286,15572631,Ndubuisi,609,France,Male,25,10,0,1,0,1,109895.16,0
5073,15572657,H?,472,France,Male,29,8,102490.27,1,0,1,181224.56,0
7919,15572706,Smith,589,France,Male,37,5,0,1,1,0,61324.87,0
5052,15572728,Ross,704,Spain,Male,36,8,127397.34,1,1,0,151335.24,0
6546,15572735,Chang,433,Spain,Male,27,2,0,2,1,1,153698.65,0
4660,15572762,Matveyeva,410,Germany,Female,50,2,102278.79,2,1,0,89822.48,0
9539,15572767,Shelby,777,France,Male,29,2,0,2,1,0,124489.88,0
8149,15572777,Meng,780,Spain,Male,47,7,86006.21,1,1,1,37973.13,0
3755,15572792,Bellucci,535,Spain,Male,35,8,118989.92,1,1,1,135536.72,0
5674,15572801,Krischock,639,Spain,Male,34,5,139393.19,2,0,0,33950.08,0
5316,15572956,Steen,683,France,Male,36,5,115350.63,1,1,1,122305.91,0
8038,15573045,Earl,547,France,Male,62,10,127738.75,2,1,1,85153,0
7382,15573077,Nwora,620,Germany,Female,25,8,141825.88,1,1,1,73857.94,1
1008,15573086,Millar,564,France,Male,42,7,99824.45,1,1,1,36721.4,0
287,15573112,Kang,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,0
213,15573152,Glassman,620,France,Female,41,9,0,2,0,0,88852.47,0
5656,15573171,Liao,695,Spain,Male,63,1,146202.93,1,1,1,126688.83,1
2587,15573242,Greene,691,France,Male,50,6,136953.47,1,1,1,2704.98,0
4976,15573278,Kennedy,743,France,Male,39,6,0,2,1,0,44265.28,0
2762,15573280,Gallagher,646,Germany,Male,50,6,145295.31,2,1,1,27814.74,0
5768,15573284,Olisanugo,579,France,Female,45,2,0,2,0,0,11514.39,0
2074,15573309,Ward,626,Spain,Female,48,2,0,2,1,1,95794.98,0
528,15573318,Kung,610,France,Male,26,8,0,2,1,0,166031.08,0
3629,15573319,Azubuike,493,Germany,Female,35,8,178317.6,1,0,0,197428.64,0
6479,15573348,Maclean,850,France,Male,35,9,102050.47,1,1,1,3769.71,0
2931,15573452,Manning,663,Germany,Male,42,7,115930.87,1,1,0,19862.78,0
393,15573456,Cunningham,648,Spain,Male,46,9,127209,2,1,0,77405.95,1
7183,15573520,Rhodes,692,Germany,Male,49,6,110540.43,2,0,1,107472.99,0
3601,15573599,Adamson,506,France,Female,57,6,0,2,0,1,194421.12,1
5824,15573628,Greene,751,Germany,Female,51,7,148074.79,1,1,0,146411.41,1
8655,15573730,Thompson,586,Germany,Male,42,6,126704.49,2,1,0,41682.3,0
1853,15573741,Aliyeva,698,Spain,Male,38,10,95010.92,1,1,1,105227.86,0
1195,15573769,Fiorentini,764,France,Female,24,7,0,2,1,0,186105.99,0
7473,15573798,Yermolayev,448,France,Female,36,6,83947.12,2,1,0,81999.53,0
5391,15573851,Macrossan,735,France,Female,38,1,0,3,0,0,92220.12,1
9280,15573854,Chukwujekwu,727,France,Male,62,5,0,2,0,1,38652.96,0
2199,15573876,Chia,473,Spain,Male,48,8,0,2,1,0,71139.8,0
4871,15573888,Ponomaryov,648,Germany,Female,43,1,107963.38,1,0,0,186438.86,1
1827,15573893,Barry,569,Germany,Male,25,9,173459.45,2,1,1,44381.06,0
3257,15573926,Lung,735,Spain,Male,38,7,86131.71,2,0,0,93478.96,0
4878,15573971,Mills,737,France,Male,44,7,0,2,0,0,57898.58,0
1376,15574004,Mancini,429,France,Female,27,6,117307.44,2,1,1,24020.49,0
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1
1439,15574068,Norman,504,Germany,Male,56,9,104217.3,1,0,0,55857.48,1
4855,15574071,Muravyova,706,Germany,Male,23,2,93301.97,2,0,1,127187.04,0
3306,15574072,Ch'ien,786,France,Female,62,8,0,1,1,1,165702.64,0
8619,15574115,Shaw,656,Spain,Female,41,6,101179.23,2,1,1,35230.61,0
7710,15574119,Okwuadigbo,598,Spain,Female,64,1,62979.93,1,1,1,152273.57,0
3332,15574122,Tien,817,France,Male,34,5,129278.43,1,0,0,165562.84,0
4853,15574137,Ch'in,687,Spain,Male,35,3,0,2,1,1,176450.19,0
9433,15574142,Chuang,458,Germany,Female,28,2,171932.26,2,1,1,9578.24,0
2148,15574167,Fox,665,France,Male,33,2,101286.11,1,1,1,159840.51,0
9095,15574169,Trevisano,595,Germany,Female,32,0,92466.21,1,1,0,4721.3,0
4540,15574206,Shillito,718,France,Female,37,7,0,2,1,1,55100.09,0
4216,15574213,Wilson,789,France,Female,53,1,158271.74,1,1,1,5036.39,1
6573,15574237,Hsueh,588,France,Female,21,8,0,2,1,1,110114.19,0
6488,15574283,Padovano,580,France,Male,31,2,0,2,0,1,64014.24,0
3578,15574296,Kambinachi,757,France,Male,23,2,80673.96,2,1,0,93991.65,0
3022,15574305,T'ang,680,France,Male,36,3,116275.12,1,1,1,63795.8,0
2627,15574324,Genovese,568,Germany,Female,29,2,129177.01,2,0,1,104617.99,0
1329,15574331,Alexeeva,593,Germany,Female,62,3,118233.81,1,0,1,24765.53,1
4707,15574352,Clogstoun,850,France,Male,43,4,161256.53,1,1,1,140071.57,0
6434,15574369,Bianchi,415,Spain,Male,53,5,167259.44,1,1,1,22357.25,0
3265,15574372,Hoolan,738,France,Male,35,5,161274.05,2,1,0,181429.87,0
9919,15574480,Ubanwa,652,Spain,Male,31,1,132862.59,1,0,0,158054.49,0
